Ends with
0,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0x10,1x0,1x10,2x0,2x5,2x10,3x0,3x10,4x0,4x5,4x10,5x0,5x2,5x4,5x6,5x8,5x10,6x0,6x5,6x10,7x0,7x10,8x0,8x5,8x10,9x0,9x10,10x0,10x1,10x2,10x3,10x4,10x5,10x6,10x7,10x8,10x9,10x10
1,1x1,3x7,7x3,9x9
2,1x2,2x1,2x6,3x4,4x3,4x8,6x2,6x7,7x6,8x4,8x9,9x8
3,1x3,3x1,7x9,9x7
4,1x4,2x2,2x7,3x8,4x1,4x6,6x4,6x9,7x2,8x3,8x8,9x6
5,1x5,3x5,5x1,5x3,5x5,5x7,5x9,7x5,9x5
6,1x6,2x3,2x8,3x2,4x4,4x9,6x1,6x6,7x8,8x2,8x7,9x4
7,1x7,3x9,7x1,9x3
8,1x8,2x4,2x9,3x6,4x2,4x7,6x3,6x8,7x4,8x1,8x6,9x2
9,1x9,3x3,7x7,9x1
